user_id,recency,frequency,monetary,avg_txn,last_city,fraud_txns,income_band,age,R_score,F_score,M_score,RFM_score,cluster,persona
U00090,10,41,169638.72,4137.529756097561,Bangalore,1,high,25,3,2,5,10,4,Loyal Customers
U00091,4,49,93235.22,1902.7595918367347,Surat,0,low,25,5,5,3,13,3,At Risk
U00092,8,48,45490.57,947.7202083333333,Delhi,0,high,52,4,4,1,9,3,At Risk
U00093,24,39,39818.88,1020.996923076923,Mumbai,0,low,32,2,2,1,5,1,Dormant
U00094,15,45,181610.04,4035.778666666667,Chennai,1,low,27,3,4,5,12,2,Champions
U00095,52,38,171638.98,4516.815263157895,Surat,1,high,26,1,2,5,8,4,Loyal Customers
U00096,33,28,278110.47,9932.516785714284,Hyderabad,2,low,47,1,1,5,7,4,Loyal Customers
U00097,7,44,35126.17,798.3220454545454,Ahmedabad,0,high,37,4,3,1,8,1,Dormant
U00098,13,48,160668.3,3347.25625,Pune,2,high,24,3,4,4,11,3,At Risk
U00099,1,40,77574.55,1939.36375,Pune,0,high,48,5,2,3,10,1,Dormant
U00100,38,40,54024.49,1350.61225,Chennai,0,mid,55,1,2,2,5,0,Occasional
U00101,8,36,33274.56,924.2933333333333,Bangalore,0,high,35,4,1,1,6,1,Dormant
U00102,22,44,79216.94,1800.385,Chennai,1,mid,37,2,3,3,8,1,Dormant
U00103,16,38,52634.1,1385.1078947368421,Ahmedabad,0,high,30,3,2,2,7,1,Dormant
U00104,3,53,141910.94,2677.5649056603775,Ahmedabad,1,mid,51,5,5,4,14,3,At Risk
U00105,22,40,189580.09,4739.50225,Kolkata,1,mid,22,2,2,5,9,4,Loyal Customers
U00106,1,32,35775.08,1117.97125,Jaipur,0,low,28,5,1,1,7,1,Dormant
U00107,31,49,81219.76,1657.5461224489795,Jaipur,0,high,35,1,5,3,9,3,At Risk
U00108,10,42,47727.23,1136.362619047619,Hyderabad,0,mid,30,3,3,1,7,1,Dormant
U00109,23,42,106290.97,2530.737380952381,Chennai,1,mid,37,2,3,4,9,3,At Risk
U00110,1,47,229154.25,4875.622340425532,Chennai,2,mid,32,5,4,5,14,2,Champions
U00111,13,41,305062.02,7440.537073170733,Chennai,3,high,41,3,2,5,10,2,Champions
U00112,19,42,41970.28,999.2923809523809,Kolkata,0,high,22,2,3,1,6,1,Dormant
U00113,5,53,116115.05,2190.85,Jaipur,1,high,41,4,5,4,13,3,At Risk
U00114,21,43,205731.9,4784.462790697674,Mumbai,1,mid,30,2,3,5,10,4,Loyal Customers
U00115,11,50,65383.89,1307.6778,Ahmedabad,0,high,28,3,5,3,11,3,At Risk
U00116,12,43,140794.49,3274.290465116279,Kolkata,1,mid,31,3,3,4,10,4,Loyal Customers
U00117,10,34,75198.25,2211.7132352941176,Jaipur,1,high,35,3,1,3,7,1,Dormant
U00118,6,50,72723.41,1454.4682,Pune,0,high,35,4,5,3,12,3,At Risk
U00119,1,37,43174.229999999996,1166.871081081081,Bangalore,0,mid,54,5,1,1,7,1,Dormant
U00120,3,40,41335.14,1033.3785,Kolkata,0,low,25,5,2,1,8,1,Dormant
U00121,8,48,70252.8,1463.6000000000001,Bangalore,0,low,39,4,4,3,11,3,At Risk
U00122,70,45,89440.52,1987.5671111111112,Surat,0,low,43,1,4,3,8,0,Occasional
U00123,3,44,279041.64,6341.855454545454,Kolkata,3,high,32,5,3,5,13,2,Champions
U00124,22,40,49189.57,1229.73925,Bangalore,0,high,49,2,2,2,6,1,Dormant
U00125,29,44,49315.44,1120.8054545454545,Pune,0,low,29,1,3,2,6,1,Dormant
U00126,7,41,58014.49,1414.9875609756098,Jaipur,0,mid,24,4,2,2,8,1,Dormant
U00127,25,38,176436.12,4643.055789473684,Bangalore,1,mid,31,2,2,5,9,4,Loyal Customers
U00128,47,31,112348.77,3624.153870967742,Jaipur,1,mid,24,1,1,4,6,0,Occasional
U00129,11,41,56736.04,1383.8058536585365,Pune,0,mid,24,3,2,2,7,1,Dormant
U00130,11,40,61419.409999999996,1535.48525,Delhi,0,high,37,3,2,2,7,1,Dormant
U00131,9,52,168412.55,3238.7028846153844,Chennai,1,high,44,4,5,5,14,2,Champions
U00132,3,47,127891.91,2721.1044680851064,Pune,1,low,31,5,4,4,13,3,At Risk
U00133,1,45,148541.53,3300.922888888889,Bangalore,2,mid,33,5,4,4,13,3,At Risk
U00134,57,43,53066.990000000005,1234.116046511628,Bangalore,1,high,33,1,3,2,6,0,Occasional
U00135,74,44,41857.92,951.3163636363636,Chennai,0,high,48,1,3,1,5,0,Occasional
U00136,4,40,117256.06,2931.4015,Delhi,1,low,39,5,2,4,11,3,At Risk
U00137,3,49,66983.83,1367.0169387755102,Pune,0,low,46,5,5,3,13,3,At Risk
U00138,5,40,215704.52,5392.612999999999,Pune,2,low,36,4,2,5,11,4,Loyal Customers
U00139,5,46,128317.32,2789.506956521739,Jaipur,1,mid,44,4,4,4,12,3,At Risk
U00140,17,35,80649.39,2304.268285714286,Kolkata,1,low,36,2,1,3,6,1,Dormant
U00141,4,48,119717.26,2494.1095833333334,Bangalore,1,mid,47,5,4,4,13,3,At Risk
U00142,19,50,79814.97,1596.2994,Delhi,1,mid,26,2,5,3,10,3,At Risk
U00143,39,36,149195.97,4144.3325,Surat,1,mid,54,1,1,4,6,4,Loyal Customers
U00144,25,35,145174.79,4147.851142857143,Chennai,2,low,43,2,1,4,7,4,Loyal Customers
U00145,21,32,80039.49,2501.2340625,Hyderabad,1,low,38,2,1,3,6,1,Dormant
U00146,9,43,116994.43999999999,2720.8009302325577,Hyderabad,1,low,38,4,3,4,11,3,At Risk
U00147,15,48,145566.1,3032.6270833333333,Surat,1,mid,49,3,4,4,11,3,At Risk
U00148,9,48,74794.19,1558.2122916666667,Bangalore,0,high,49,4,4,3,11,3,At Risk
U00149,15,40,51116.1,1277.9025,Bangalore,0,mid,29,3,2,2,7,1,Dormant
U00150,10,56,68214.97,1218.1244642857143,Delhi,0,mid,34,3,5,3,11,3,At Risk
U00151,4,38,147638.79,3885.2313157894737,Chennai,1,low,49,5,2,4,11,4,Loyal Customers
U00152,14,43,281888.39999999997,6555.544186046511,Jaipur,2,mid,34,3,3,5,11,2,Champions
U00153,72,43,169007.81,3930.4141860465115,Surat,1,high,26,1,3,5,9,0,Occasional
U00154,24,38,139913.09,3681.9234210526315,Bangalore,2,high,42,2,2,4,8,4,Loyal Customers
U00155,9,35,42039.3,1201.1228571428571,Delhi,0,high,41,4,1,1,6,1,Dormant
U00156,18,26,35983.33,1383.9742307692309,Bangalore,0,mid,48,2,1,1,4,1,Dormant
U00157,3,43,55346.37,1287.1248837209303,Chennai,0,high,40,5,3,2,10,3,At Risk
U00158,1,34,36778.1,1081.7088235294118,Surat,0,mid,34,5,1,1,7,1,Dormant
U00159,24,39,45649.16,1170.491282051282,Bangalore,0,high,33,2,2,1,5,1,Dormant
U00160,8,36,119713.07999999999,3325.363333333333,Ahmedabad,1,mid,41,4,1,4,9,4,Loyal Customers
U00161,35,46,196714.76,4276.407826086956,Pune,1,mid,22,1,4,5,10,4,Loyal Customers
U00162,6,47,86814.4,1847.1148936170212,Bangalore,1,mid,35,4,4,3,11,3,At Risk
U00163,6,42,32928.98,784.0233333333334,Bangalore,0,mid,42,4,3,1,8,1,Dormant
U00164,44,39,62928.89,1613.561282051282,Bangalore,0,high,50,1,2,3,6,0,Occasional
U00165,18,47,40736.5,866.7340425531914,Delhi,0,mid,54,2,4,1,7,1,Dormant
U00166,1,51,69488.31999999999,1362.5160784313723,Kolkata,0,mid,27,5,5,3,13,3,At Risk
U00167,32,43,144855.33,3368.7286046511626,Delhi,1,low,43,1,3,4,8,4,Loyal Customers
U00168,21,41,325569.99,7940.731463414634,Ahmedabad,3,low,41,2,2,5,9,2,Champions
U00169,8,46,260131.24,5655.026956521739,Pune,2,low,31,4,4,5,13,2,Champions
U00170,29,46,115506.08,2511.001739130435,Kolkata,1,mid,37,1,4,4,9,3,At Risk
U00171,12,37,50881.74,1375.182162162162,Chennai,0,mid,26,3,1,2,6,1,Dormant
U00172,9,35,48952.1,1398.6314285714286,Jaipur,0,high,34,4,1,2,7,1,Dormant
U00173,22,45,202694.66999999998,4504.326,Bangalore,2,mid,53,2,4,5,11,2,Champions
U00174,22,42,131046.19000000002,3120.1473809523814,Pune,1,high,31,2,3,4,9,4,Loyal Customers
U00175,2,51,107557.24,2108.9654901960785,Chennai,0,mid,28,5,5,4,14,3,At Risk
U00176,36,48,73447.65000000001,1530.1593750000002,Delhi,0,high,33,1,4,3,8,3,At Risk
U00177,14,50,157345.77,3146.9154,Surat,1,low,51,3,5,4,12,3,At Risk
U00178,20,36,149346.95,4148.526388888889,Jaipur,1,low,37,2,1,4,7,4,Loyal Customers
U00179,23,36,36982.16,1027.2822222222223,Surat,0,mid,30,2,1,1,4,1,Dormant
U00180,8,43,54261.46,1261.894418604651,Chennai,0,mid,42,4,3,2,9,1,Dormant
U00181,10,36,48348.53,1343.0147222222222,Bangalore,0,mid,54,3,1,1,5,1,Dormant
U00182,1,42,142406.39,3390.6283333333336,Surat,2,low,50,5,3,4,12,4,Loyal Customers
U00183,37,35,59586.71,1702.4774285714286,Ahmedabad,0,mid,50,1,1,2,4,0,Occasional
U00184,9,40,77016.83,1925.42075,Pune,0,high,39,4,2,3,9,1,Dormant
U00185,8,44,73897.23,1679.4824999999998,Ahmedabad,0,mid,37,4,3,3,10,3,At Risk
U00186,10,43,66160.76,1538.6223255813952,Bangalore,0,high,26,3,3,3,9,3,At Risk
U00187,21,40,115813.56999999999,2895.33925,Delhi,1,mid,37,2,2,4,8,4,Loyal Customers
U00188,27,29,29340.68,1011.7475862068966,Chennai,0,high,42,2,1,1,4,1,Dormant
U00189,43,38,43982.83,1157.4428947368422,Kolkata,0,low,30,1,2,1,4,0,Occasional
U00190,3,30,43323.83,1444.1276666666668,Chennai,0,high,46,5,1,1,7,1,Dormant
U00191,7,38,48033.03,1264.0271052631579,Bangalore,0,low,35,4,2,1,7,1,Dormant
U00192,8,49,55366.14,1129.9212244897958,Delhi,0,mid,48,4,5,2,11,3,At Risk
U00193,1,47,58835.06,1251.8097872340425,Ahmedabad,0,mid,51,5,4,2,11,3,At Risk
U00194,8,45,343817.47000000003,7640.388222222223,Surat,3,mid,35,4,4,5,13,2,Champions
U00195,6,37,36143.2,976.8432432432431,Mumbai,0,high,23,4,1,1,6,1,Dormant
U00196,11,50,404017.18,8080.3436,Hyderabad,3,low,52,3,5,5,13,2,Champions
U00197,45,46,205012.51,4456.793695652174,Surat,2,mid,41,1,4,5,10,4,Loyal Customers
U00198,9,38,166991.69,4394.518157894737,Bangalore,1,mid,36,4,2,5,11,4,Loyal Customers
U00199,10,33,38256.64,1159.2921212121212,Delhi,0,mid,39,3,1,1,5,1,Dormant
U00200,2,54,165931.82,3072.8114814814817,Mumbai,2,mid,23,5,5,5,15,2,Champions
U00201,1,41,49193.55,1199.8426829268294,Ahmedabad,0,high,47,5,2,2,9,1,Dormant
U00202,7,45,176029.48,3911.7662222222225,Delhi,1,low,51,4,4,5,13,2,Champions
U00203,48,41,78516.65,1915.040243902439,Kolkata,0,mid,23,1,2,3,6,0,Occasional
U00204,13,33,126307.95000000001,3827.5136363636366,Surat,2,low,23,3,1,4,8,4,Loyal Customers
U00205,32,45,56639.69,1258.659777777778,Pune,0,mid,30,1,4,2,7,0,Occasional
U00206,12,35,28271.05,807.7442857142856,Kolkata,0,mid,25,3,1,1,5,1,Dormant
U00207,21,35,172736.03,4935.315142857143,Pune,1,low,42,2,1,5,8,4,Loyal Customers
U00208,17,40,105443.09,2636.07725,Hyderabad,1,mid,42,2,2,4,8,1,Dormant
U00209,21,55,251724.57,4576.810363636364,Delhi,1,mid,39,2,5,5,12,2,Champions
U00210,17,36,56232.78,1562.0216666666665,Chennai,0,mid,27,2,1,2,5,1,Dormant
U00211,19,47,45930.65,977.2478723404256,Jaipur,0,mid,25,2,4,1,7,1,Dormant
U00212,18,48,110593.51,2304.0314583333334,Mumbai,1,high,26,2,4,4,10,3,At Risk
U00213,5,42,198147.46,4717.796666666666,Hyderabad,1,low,23,4,3,5,12,2,Champions
U00214,1,47,124097.09999999999,2640.363829787234,Jaipur,1,high,23,5,4,4,13,3,At Risk
U00215,22,45,149103.69,3313.4153333333334,Ahmedabad,1,low,37,2,4,4,10,4,Loyal Customers
U00216,9,39,44989.87,1153.5864102564103,Hyderabad,0,high,29,4,2,1,7,1,Dormant
U00217,78,44,224426.09999999998,5100.593181818182,Hyderabad,2,high,51,1,3,5,9,4,Loyal Customers
U00218,2,42,50551.06,1203.5966666666666,Delhi,0,low,45,5,3,2,10,3,At Risk
U00219,6,51,57057.0,1118.764705882353,Kolkata,0,low,29,4,5,2,11,3,At Risk
U00220,10,46,76536.16,1663.8295652173913,Pune,0,high,28,3,4,3,10,3,At Risk
U00221,3,36,67560.81,1876.6891666666666,Chennai,1,high,41,5,1,3,9,1,Dormant
U00222,24,46,164554.25,3577.266304347826,Chennai,1,high,47,2,4,4,10,4,Loyal Customers
U00223,50,37,37994.01,1026.8651351351352,Bangalore,0,high,26,1,1,1,3,0,Occasional
U00224,2,27,50856.81,1883.5855555555554,Mumbai,1,high,28,5,1,2,8,1,Dormant
U00225,13,30,33551.41,1118.3803333333335,Ahmedabad,0,high,29,3,1,1,5,1,Dormant
U00226,6,46,65034.85,1413.8010869565217,Mumbai,0,high,44,4,4,3,11,3,At Risk
U00227,18,49,162784.31,3322.128775510204,Bangalore,1,low,45,2,5,4,11,3,At Risk
U00228,2,39,51739.04,1326.6420512820514,Delhi,0,low,43,5,2,2,9,1,Dormant
U00229,16,48,102677.59999999999,2139.1166666666663,Hyderabad,1,low,53,3,4,4,11,3,At Risk
U00230,19,46,221320.08,4811.3060869565215,Jaipur,2,high,45,2,4,5,11,2,Champions
U00231,43,43,61009.49,1418.8253488372093,Hyderabad,0,mid,31,1,3,2,6,0,Occasional
U00232,11,49,48014.05,979.8785714285715,Bangalore,0,high,55,3,5,1,9,3,At Risk
U00233,10,41,174059.76,4245.360000000001,Kolkata,1,mid,52,3,2,5,10,4,Loyal Customers
U00234,1,40,48131.85,1203.2962499999999,Kolkata,0,mid,39,5,2,1,8,1,Dormant
U00235,14,37,66455.69,1796.0997297297297,Jaipur,0,mid,27,3,1,3,7,1,Dormant
U00236,14,44,172480.19,3920.0043181818182,Chennai,1,mid,37,3,3,5,11,4,Loyal Customers
U00237,58,46,71201.04,1547.8486956521738,Ahmedabad,0,mid,46,1,4,3,8,0,Occasional
U00238,1,44,67033.9,1523.4977272727272,Jaipur,0,mid,53,5,3,3,11,3,At Risk
U00239,24,40,81708.75,2042.71875,Bangalore,1,low,53,2,2,3,7,1,Dormant
U00240,10,49,120386.45,2456.8663265306122,Jaipur,1,mid,38,3,5,4,12,3,At Risk
U00241,1,39,205449.38,5267.93282051282,Pune,1,high,39,5,2,5,12,4,Loyal Customers
U00242,11,40,173238.99,4330.974749999999,Surat,2,low,55,3,2,5,10,4,Loyal Customers
U00243,5,46,46542.43,1011.7919565217392,Ahmedabad,0,high,37,4,4,1,9,3,At Risk
U00244,4,51,197608.64,3874.679215686275,Ahmedabad,1,high,53,5,5,5,15,2,Champions
U00245,8,50,50653.77,1013.0754,Mumbai,0,high,52,4,5,2,11,3,At Risk
U00246,10,39,34056.55,873.2448717948719,Hyderabad,0,low,50,3,2,1,6,1,Dormant
U00247,12,46,75770.78,1647.1908695652173,Ahmedabad,0,low,40,3,4,3,10,3,At Risk
U00248,20,46,257155.66,5590.340434782609,Surat,2,mid,37,2,4,5,11,2,Champions
U00249,6,43,61843.99,1438.2323255813953,Kolkata,0,mid,45,4,3,2,9,3,At Risk
U00250,6,34,196067.11,5766.679705882352,Delhi,2,mid,55,4,1,5,10,4,Loyal Customers
U00251,6,39,55015.44,1410.6523076923077,Ahmedabad,0,mid,43,4,2,2,8,1,Dormant
U00252,3,35,49350.55,1410.0157142857145,Hyderabad,0,mid,39,5,1,2,8,1,Dormant
U00253,15,44,60550.659999999996,1376.1513636363636,Kolkata,0,low,36,3,3,2,8,1,Dormant
U00254,7,48,404956.53,8436.594375,Delhi,3,low,42,4,4,5,13,2,Champions
U00255,39,36,63798.09,1772.1691666666666,Kolkata,0,low,33,1,1,3,5,0,Occasional
U00256,6,38,127288.44000000002,3349.6957894736847,Jaipur,1,mid,52,4,2,4,10,4,Loyal Customers
U00257,20,45,176613.97,3924.754888888889,Surat,1,high,55,2,4,5,11,4,Loyal Customers
U00258,47,37,137977.12999999998,3729.111621621621,Surat,1,low,28,1,1,4,6,0,Occasional
U00259,43,36,200918.72999999998,5581.075833333332,Jaipur,1,mid,36,1,1,5,7,4,Loyal Customers
U00260,19,48,62976.78,1312.01625,Pune,0,low,41,2,4,3,9,3,At Risk
U00261,7,45,58000.42,1288.898222222222,Surat,0,mid,30,4,4,2,10,3,At Risk
U00262,14,52,318107.77,6117.4571153846155,Pune,3,high,25,3,5,5,13,2,Champions
U00263,3,44,40134.59,912.1497727272726,Ahmedabad,0,high,30,5,3,1,9,3,At Risk
U00264,1,41,129862.31999999999,3167.373658536585,Bangalore,1,low,28,5,2,4,11,3,At Risk
U00265,23,31,29307.94,945.4174193548387,Jaipur,0,mid,40,2,1,1,4,1,Dormant
U00266,6,36,33970.41,943.6225000000001,Jaipur,0,mid,50,4,1,1,6,1,Dormant
U00267,22,36,44880.35,1246.6763888888888,Mumbai,0,mid,25,2,1,1,4,1,Dormant
U00268,26,44,56107.45,1275.1693181818182,Delhi,0,low,29,2,3,2,7,1,Dormant
U00269,2,41,64257.62,1567.259024390244,Kolkata,0,low,53,5,2,3,10,3,At Risk
U00270,11,39,38323.67,982.658205128205,Delhi,0,low,25,3,2,1,6,1,Dormant
U00271,14,34,49278.18,1449.3582352941175,Mumbai,0,low,41,3,1,2,6,1,Dormant
U00272,33,45,85080.73,1890.6828888888888,Chennai,1,high,29,1,4,3,8,0,Occasional
U00273,3,40,103494.31000000001,2587.35775,Bangalore,1,high,36,5,2,4,11,3,At Risk
U00274,6,44,85864.05,1951.4556818181818,Delhi,1,mid,50,4,3,3,10,3,At Risk
U00275,40,33,34347.7,1040.8393939393939,Kolkata,0,mid,49,1,1,1,3,0,Occasional
U00276,9,46,49012.27,1065.4841304347826,Chennai,0,high,25,4,4,2,10,3,At Risk
U00277,30,29,111045.98999999999,3829.1720689655167,Delhi,1,high,35,1,1,4,6,4,Loyal Customers
U00278,15,58,187083.36,3225.5751724137926,Chennai,2,high,38,3,5,5,13,2,Champions
U00279,2,38,48409.81,1273.9423684210526,Delhi,0,low,32,5,2,1,8,1,Dormant
U00280,5,46,176939.52,3846.511304347826,Delhi,1,low,26,4,4,5,13,2,Champions
U00281,11,55,91993.19,1672.6034545454545,Hyderabad,0,mid,48,3,5,3,11,3,At Risk
